 0.00 -3.00 -1.00  1.00  3.00
 0.31 -2.97 -0.97  0.97  2.97
 0.63 -2.89 -0.89  0.89  2.89
 0.94 -2.76 -0.76  0.76  2.76
 1.26 -2.58 -0.58  0.58  2.58
 1.57 -2.35 -0.35  0.35  2.35
 1.88 -2.09 -0.09  0.09  2.09
 2.20 -1.80 -0.20  0.20  1.80
 2.51 -1.49 -0.51  0.51  1.49
 2.83 -1.17 -0.83  0.83  1.17
 3.14 -1.17 -0.83  0.83  1.17
 3.46 -1.49 -0.51  0.51  1.49
 3.77 -1.80 -0.20  0.20  1.80
 4.08 -2.09 -0.09  0.09  2.09
 4.40 -2.35 -0.35  0.35  2.35
 4.71 -2.58 -0.58  0.58  2.58
 5.03 -2.76 -0.76  0.76  2.76
 5.34 -2.89 -0.89  0.89  2.89
 5.65 -2.97 -0.97  0.97  2.97
 5.97 -3.00 -1.00  1.00  3.00
